node_id,longitude,latitude
0,104.100294,30.714794800000004
1,104.1000959,30.7148658
2,104.1007853,30.7160125
3,104.1019833,30.7142235
4,104.083862,30.6898358
5,104.084002,30.6897702
6,104.0824339,30.6876654
7,104.080525,30.6847522
8,104.0807094,30.6846811
9,104.0781717,30.681286
10,104.0690996,30.6799019
11,104.0690625,30.6798515
12,104.0634185,30.6830302
13,104.0580855,30.6607276
14,104.0581033,30.6605957
15,104.0538656,30.6627508
16,104.068095,30.669573600000003
17,104.0662916,30.6695825
18,104.0680895,30.6694723
19,104.0705385,30.657417100000004
20,104.069545,30.6578636
21,104.0720471,30.659592600000003
22,104.0499609,30.6552756
23,104.0501687,30.6555589
24,104.0498557,30.6552982
25,104.0421375,30.660414000000003
26,104.0421096,30.660362300000003
27,104.0409354,30.6607956
28,104.0434653,30.6588648
29,104.0454615,30.6563426
30,104.0452373,30.6553527
31,104.0472307,30.6555978
32,104.0483216,30.6554533
33,104.0483283,30.6555102
34,104.0422168,30.6603794
35,104.0494374,30.655368100000004
36,104.0684058,30.6608005
37,104.0685982,30.660800800000004
38,104.068469,30.6589096
39,104.0745755,30.6610925
40,104.073468,30.6616463
41,104.0719434,30.6610418
42,104.0872423,30.6552907
43,104.0883305,30.6580235
44,104.0853139,30.656212100000005
45,104.0405662,30.7250964
46,104.0402564,30.7248504
47,104.0526933,30.7281725
48,104.053493,30.728125899999995
49,104.1072392,30.7208021
50,104.097116,30.7216024
51,104.1014663,30.7180408
52,104.0801371,30.7238807
53,104.0867532,30.7221422
54,104.0832197,30.7250095
55,104.0783959,30.7243151
56,104.0987927,30.721310100000004
57,104.1038222,30.7234402
58,104.1074278,30.720571600000003
59,104.1035426,30.7229197
60,104.1010876,30.7171942
61,104.0935394,30.7260613
62,104.087669,30.7241637
63,104.0988442,30.7246179
64,104.0873158,30.7243738
65,104.0647365,30.658852600000003
66,104.0670308,30.658909
67,104.0650124,30.65959
68,104.0578152,30.6693584
69,104.0578201,30.6692618
70,104.0537846,30.671010100000004
71,104.0631561,30.669512800000003
72,104.0631067,30.6713975
73,104.0630324,30.6695084
74,104.0655541,30.674849
75,104.0679984,30.6737079
76,104.0656494,30.6749934
77,104.0636342,30.6884084
78,104.0636356,30.6882634
79,104.06055,30.6883872
80,104.0632224,30.6861272
81,104.0632792,30.686072600000003
82,104.0617616,30.6850155
83,104.0621656,30.6869903
84,104.0618426,30.6849519
85,104.0602226,30.6839562
86,104.0600785,30.6854891
87,104.060791,30.6882423
88,104.0546156,30.6917067
89,104.0536655,30.691507
90,104.0546743,30.6929426
91,104.0567686,30.691705
92,104.0565249,30.6883859
93,104.0509101,30.7084331
94,104.0499876,30.7078471
95,104.0497898,30.709586100000003
96,104.0526757,30.706601899999995
97,104.0486145,30.7108242
98,104.0492359,30.7112881
99,104.047674,30.7101263
100,104.0478174,30.7133247
101,104.0483368,30.7182435
102,104.0486586,30.716234600000003
103,104.0496135,30.7187646
104,104.1023981,30.7018608
105,104.10241,30.7062499
106,104.1017096,30.7031153
107,104.1025062,30.7063763
108,104.1022807,30.7018248
109,104.1028857,30.7070848
110,104.1014465,30.7066517
111,104.099892,30.7059722
112,104.1002119,30.708644300000003
113,104.10335390000002,30.7063154
114,104.1042494,30.6987709
115,104.124974,30.6607103
116,104.1249165,30.660829600000003
117,104.123247,30.6601235
118,104.1231744,30.660246500000003
119,104.1008336,30.6897826
120,104.1000787,30.688808
121,104.0994979,30.688564000000003
122,104.099152,30.6876103
123,104.100886,30.689756
124,104.1043551,30.698834700000003
125,104.101994,30.691051300000005
126,104.1001569,30.688789
127,104.0982399,30.6862304
128,104.0992004,30.6874097
129,104.0992141,30.687573600000004
130,104.1028761,30.682511100000003
131,104.1033366,30.6827164
132,104.1001703,30.6811405
133,104.10568,30.677696500000003
134,104.0997005,30.705886199999995
135,104.0972499,30.7097097
136,104.0489147,30.6905232
137,104.049119,30.6905149
138,104.0487556,30.691707
139,104.0488024,30.6905
140,104.05239559999998,30.691226300000004
141,104.0516388,30.691073600000003
142,104.0522123,30.6922215
143,104.086345,30.6820455
144,104.0864215,30.682174
145,104.0839488,30.6784353
146,104.0886246,30.6809544
147,104.0553665,30.675060700000003
148,104.0554334,30.6751649
149,104.0568814,30.6743867
150,104.0436801,30.6827924
151,104.0432751,30.6832495
152,104.0434876,30.6834124
153,104.0397433,30.6877493
154,104.0409604,30.6890898
155,104.0420276,30.6902087
156,104.0418884,30.6883073
157,104.0424479,30.6906152
158,104.0434307,30.6916631
159,104.041743,30.6928725
160,104.0445668,30.6927557
161,104.0452088,30.6896902
162,104.0406361,30.6674251
163,104.0412283,30.6681828
164,104.0413132,30.6669878
165,104.0476105,30.6639854
166,104.0475535,30.6638828
167,104.048076,30.664880600000004
168,104.0444953,30.6654261
169,104.1025405,30.6576028
170,104.1036832,30.6570815
171,104.1026298,30.657744300000005
172,104.1019259,30.656591
173,104.0537513,30.6628396
174,104.0543331,30.6636475
175,104.0580657,30.6616328
176,104.0544547,30.6651244
177,104.0580336,30.6642608
178,104.0537532,30.666053700000003
179,104.105336,30.7278432
180,104.1052219,30.7279006
181,104.1053017,30.727755100000003
182,104.0721586,30.7267002
183,104.0748671,30.725167
184,104.0690174,30.7265724
185,104.0790429,30.6997525
186,104.0790389,30.700655800000003
187,104.0636683,30.6969324
188,104.06398409999998,30.6969343
189,104.0636555,30.6916226
190,104.0907579,30.6772572
191,104.0902698,30.6766528
192,104.0853641,30.6656261
193,104.08671,30.6649989
194,104.0845218,30.6642332
195,104.0810123,30.658069800000003
