agent_id,seq,sub_seq,time,loc_type,link_id,from_node,to_node,lng,lat,prj_lng,prj_lat,dis_to_next,match_heading,route_dis
1,20,0,2018-10-09 09:33:58.000000000,s,5756,392,789,104.09348,30.66424,104.0931931023423,30.66455602690092,256.3957578046841,232.34,13.566879554670958
1,21,0,2018-10-09 09:34:28.000000000,s,5748,789,362,104.09244,30.662169999999993,104.091755,30.662656399999992,0.0,188.22,16.900899374431322
1,22,0,2018-10-09 09:34:58.000000000,s,5748,789,362,104.09242,30.66213,104.091755,30.662656399999992,88.07687723909518,188.22,16.900899374431322
1,23,0,2018-10-09 09:35:28.000000000,s,5751,362,800,104.0922,30.6617,104.09256287311229,30.662277177131333,88.92665973227409,118.64,88.07687723909518
1,24,0,2018-10-09 09:35:58.000000000,s,5751,362,800,104.09281,30.660990000000005,104.09337836406755,30.66189401725025,304.7269979992569,118.64,177.00353697136927
1,25,0,2018-10-09 09:36:31.000000000,s,5751,362,800,104.0956,30.659670000000002,104.09617277730426,30.660580994653152,141.19175341140158,118.64,481.7305349706262
1,26,0,2018-10-09 09:37:01.000000000,s,5751,362,800,104.0969,30.65907,104.097467511336,30.659972599747817,210.41769189620868,118.64,622.9222883820278
1,26,1,2018-10-09 09:37:16.000000000,c,823,800,798,104.097875,30.658610000000003,104.09805220007954,30.659697250064234,,,13.974901805187585
1,27,0,2018-10-09 09:37:31.000000000,s,822,798,799,104.09885,30.658150000000003,104.09940771526048,30.659083552692532,9.696028123257832,117.77,132.6399802782364
1,28,0,2018-10-09 09:38:01.000000000,s,822,798,799,104.09894,30.658110000000008,104.0994976289641,30.659043406778046,8.844727388896672,117.77,142.33600840149424
1,29,0,2018-10-09 09:38:31.000000000,s,822,798,799,104.09902,30.658070000000002,104.09957964827845,30.65900678557547,207.63226917480117,117.77,151.1807357903909
1,29,1,2018-10-09 09:38:46.000000000,c,835,799,808,104.099955,30.657625000000003,104.10030840084956,30.658666700688563,,,45.71722069651934
1,30,0,2018-10-09 09:39:01.000000000,s,4026,808,169,104.10089,30.65718,104.1014797935651,30.658107127005415,229.36466547574008,119.27,82.51300496519207
1,31,0,2018-10-09 09:39:31.000000000,s,139,169,170,104.10301,30.656180000000006,104.10358703712353,30.657125370136544,228.4625430337057,118.28,113.37793316356667
1,32,0,2018-10-09 09:40:01.000000000,s,4031,170,2267,104.10512,30.65522,104.10569580254254,30.656163245619158,,118.28,218.0445602016856
2,0,0,2018-10-03 11:52:16.000000000,s,5699,2642,1729,104.04374,30.722849999999994,104.04432217681968,30.722490739036314,259.570941308658,36.03,39.68100841789116
2,1,0,2018-10-03 11:52:46.000000000,s,5699,2642,1729,104.04591000000002,30.72447,104.04617163303503,30.72419146003801,307.27705270243905,48.85,299.2519497265492
2,1,1,2018-10-03 11:53:01.000000000,c,3772,1729,1564,104.04748000000001,30.724895000000004,104.04719424988988,30.72478180009118,,,16.653544693958573
2,2,0,2018-10-03 11:53:16.000000000,s,2114,1564,242,104.04905,30.725320000000004,104.04903959106211,30.725368114930312,,72.72,172.32900242898822
3,0,0,2018-10-09 07:32:31.000000000,s,2385,292,1678,104.05581,30.67127000000001,104.05560260928654,30.67093065039481,5.600185842661148,118.33,189.9770108590656
3,1,0,2018-10-09 07:33:01.000000000,s,2385,292,1678,104.05575,30.671279999999992,104.05555092229292,30.67095425247577,78.355957696946,118.33,184.37682501640444
3,2,0,2018-10-09 07:33:31.000000000,s,2385,292,1678,104.05651,30.67100999999999,104.05627410745413,30.67062401800047,247.0837394482298,118.33,262.73278271335045
3,2,1,2018-10-09 07:33:46.000000000,c,4238,1678,68,104.05633,30.66982499999999,104.05781265002406,30.669687100008417,,,36.430837461850345
3,3,0,2018-10-09 07:34:01.000000000,s,54,68,69,104.05615,30.668639999999993,104.0578201,30.6692618,353.4515511819796,177.97,10.716522161580238
3,3,1,2018-10-09 07:34:11.000000000,c,5137,69,2380,104.05691666666667,30.66826333333333,104.05794889999326,30.669265550063752,,,12.3464983492481
3,3,2,2018-10-09 07:34:21.000000000,c,5150,2380,328,104.05768333333333,30.66788666666666,104.05893150417398,30.669298999839008,,,81.87288313877319
3,4,0,2018-10-09 07:34:31.000000000,s,5152,328,330,104.05845,30.667509999999996,104.0598967,30.6678511,17.631926656440157,177.45,164.96807334355984
3,4,1,2018-10-09 07:34:46.000000000,c,4958,330,324,104.059115,30.667284999999993,104.05990105000447,30.667771500000622,,,8.831947377729122
3,5,0,2018-10-09 07:35:01.000000000,s,267,324,331,104.05978000000002,30.667059999999992,104.05990540000002,30.667691899999998,0.0,89.69,0.0
3,6,0,2018-10-09 07:35:26.000000000,s,267,324,331,104.05981,30.667050000000003,104.05990540000002,30.667691899999998,396.83531626160857,89.69,0.0
